date,high,low,open,volume,adj_close,rolling_ma,RSI,MACD,Signal_Line,MACD_Histogram,SMA_20,upper_band,lower_band,year,month,day,weekday,Fourier_Sin_7,Fourier_Cos_7,Fourier_Sin_30,Fourier_Cos_30
1980-12-15,0.0940045628681454,0.0935753434896469,0.0940045628681454,175884800,0.0935753434896469,0.0977894535118883,0.0,-0.0004108723921653,-8.217447843307247e-05,-0.0003286979137322,0.0982353910803794,0.1055194096375626,0.0909513725231963,1980,12,15,0,-5.4879032137079545e-14,1.0,-0.8660254037844313,-0.5000000000000128
1980-12-16,0.0871363213524035,0.0867071077227592,0.0871363213524035,105728000,0.0867071077227592,0.0957744815502285,0.0,-0.0012759921065518,-0.0003209380040568,-0.000955054102495,0.0971374593320347,0.1102734578875886,0.0840014607764807,1980,12,16,1,0.7818314824680088,0.6234898018587598,-0.9510565162951538,-0.3090169943749468
1980-12-17,0.0892824221954119,0.0888532027602195,0.0888532027602195,86441600,0.0888532027602195,0.0945160672247723,17.933107970736174,-0.0017680527674669,-0.0006103609567388,-0.001157691810728,0.0963484825156713,0.1093575869770508,0.0833393780542918,1980,12,17,2,0.9749279121818388,-0.2225209339562469,-0.994521895368272,-0.1045284632676657
1980-12-18,0.0918584320854268,0.0914292186498642,0.0914292186498642,73449600,0.0914292186498642,0.0939548220293344,34.260880464052065,-0.0019279274847653,-0.0008738742623441,-0.0010540532224211,0.0958799811951182,0.1077711569160495,0.083988805474187,1980,12,18,3,0.43388373911755,-0.900968867902423,-0.9945218953682732,0.1045284632676565
1980-12-19,0.0974382821141331,0.0970090627670288,0.0970090627670288,48630400,0.0970090627670288,0.094510138527097,56.09361286714645,-0.0015860990005413,-0.0010163192099835,-0.0005697797905577,0.0959875127733954,0.1065793463477028,0.085395679199088,1980,12,19,4,-0.4338837391175854,-0.900968867902406,-0.9510565162951524,0.3090169943749514
1980-12-22,0.1021604457671997,0.1017304584383964,0.1017304584383964,37363200,0.1017304584383964,0.0958229239655151,66.84434532747812,-0.0009235739066323,-0.0009977701493133,7.419624268098198e-05,0.096534459979586,0.1069717727137099,0.0860971472454621,1980,12,22,0,-1.9596824708904003e-14,1.0,-0.5877852522924784,0.8090169943749437
1980-12-23,0.1064525680901653,0.1060233488678932,0.1060233488678932,46950400,0.1060233488678932,0.0976775466750384,73.62075962687584,-5.152368305001709e-05,-0.0008085208560606,0.0007569971730106,0.0974381636832343,0.1090470998500272,0.0858292275164415,1980,12,23,1,0.7818314824680308,0.6234898018587323,-0.406736643075805,0.9135454576425988
1980-12-24,0.1120324422343171,0.1116032227873802,0.1116032227873802,48003200,0.1116032227873802,0.1002094877863733,79.80960516124662,0.001077411861004,-0.0004313343126477,0.0015087461736517,0.0987872169312482,0.1131500509499323,0.0844243829125641,1980,12,24,2,0.9749279121818312,-0.2225209339562813,-0.2079116908177633,0.9781476007338048
1980-12-26,0.122334337425815,0.1219051182270049,0.1219051182270049,55574400,0.121905118227005,0.1041541478664881,86.53785676581312,0.0027714309478426,0.0002092187394503,0.0025622122083923,0.1009889218165584,0.121254603946693,0.0807232396864237,1980,12,26,4,-0.4338837391175147,-0.90096886790244,0.2079116908177437,0.9781476007338088
1980-12-29,0.1240512344269807,0.1236220151185989,0.1236220151185989,93161600,0.1236220151185989,0.1076937600941446,87.3485783320795,0.0042040310562582,0.0010081812028119,0.0031958498534463,0.1031444545119908,0.127094530355703,0.0791943786682787,1980,12,29,0,-4.115803614153648e-14,1.0,0.7431448254773955,0.6691306063588569
